[2025-05-30 20.35.52] [INFO] Application starting.
[2025-05-30 20.35.52] [INFO] Font not found: assets/fonts/ascii_16x16.png
[2025-05-30 20.35.53] [INFO] Window created successfully.
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.545
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.553
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.555
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.556
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.557
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.558
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.559
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.562
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.562
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.563
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.564
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.565
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.565
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.567
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.568
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.569
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.569
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.573
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.575
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.577
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.578
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.579
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.580
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.581
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.582
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.584
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.585
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.588
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.589
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.590
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.591
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.592
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.593
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.594
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.595
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.596
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.597
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.597
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.598
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.599
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.600
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.601
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.603
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.603
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.604
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.605
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.606
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.608
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.609
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.610
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.611
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.612
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.613
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.614
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.615
[2025-05-30 20.35.53] [INFO] RenderFrame at 20.35.53.617
